row_num,pub,text_block_english,threat_clean,threat_expl,benefit_clean,benefit_expl
6724,Tagesspiegel,"Josef Hader, 59, is one of the most successful German-speaking cabaret artists. The [Gruppe 1] member also works as a film actor, both in comedy and character roles, such as in Maria Schrader s outstanding Stefan Zweig biopic *Before the Dawn* (*Vor der Morgenr te*). Hader s directorial debut *Wild Mouse* (*Wilde Maus*) premiered in 2017 in the Berlinale competition. Starting in June, he will again be shooting his own film. His new solo show, *Hader on Ice*, will be on at Berlin s Babylon Mitte for eight evenings from January 19th.

Mr. Hader, the new year lies full of hope before you: What does 2022 have in store?",NO,"NO   The text discusses a German-speaking artist's career and upcoming projects with no mention of immigration, economic threats, or any T1–T5 criteria.",NO,"NO   The text describes cultural/artistic contributions (film, theater) and personal career milestones, with no mention of economic benefit frames (tax revenue, GDP, labor shortages filled, or integration measures like degree recognition or work permits)."
6409,Focus,"With 1.17 million subscribers, he became the flagship of independent Russian broadcasting on YouTube and competes with the news channel of the exiled oligarch Mikhail Khodorkovsky. Since the start of the war, the channel has focused on events in Ukraine. For many **[Group 1]**, Popular Politics has become an alternative to television news. They watch the channel live, just as they once watched television and often starting in the morning.

The first months of the war clearly showed that access to global platforms is absolutely crucial for **[Group 1]**. In the first two months of the war, Russian censorship repeatedly targeted YouTube and threatened to block the service entirely, but held back. And in those first months, many **[Group 1]** had valuable time to learn how to get their news from YouTube. They also used this time to install VPNs to bypass the blocking of independent media and social networks like Facebook, Twitter, and Instagram. This knowledge could prove useful if YouTube and Telegram are actually blocked.",NO,"NO   No mention of economic threat framing (T1–T5). The text discusses media access and censorship for **[Group 1]** without any reference to costs, financial burden, labor market impact, or public resources for the receiving society.",NO,"NO   The text discusses media consumption, censorship, and technical adaptation (VPNs) among **[Group 1]**, with no mention of labor market participation, economic output, tax revenue, GDP, or any other economic benefit linked to immigration. No sub-criterion B1–B5 applies."
5278,FAZ,"**The Middle-Class Hero**

Eileen Gu always emphasizes that she is half [Group 2] and half [Group 1]. Su Yiming, on the other hand, is 100 percent [Group 1]. He doesn t come from a family as privileged as Gu s. He is the middle-class hero at least, since he won a gold medal for China.

**February 7, 2022, Slopestyle Final:** The [Group 1] fans wave flags in the snowpark. Su Yiming rides over a Chinese roof, flips his board lightning-fast, and dives headfirst into the air. When he jumps, he spins as if he ll never stop. A rider with his own smooth, flowing style, standing out. As he waits for his score, he covers his face with his hands. He hides behind his mirrored sunglasses: *silver.*",NO,"NO   No mention of economic threat framing (T1–T5). The text focuses on a sports event and individual athlete background, with no reference to costs, burden, unemployment, welfare, or capacity limits.",NO,"NO   The text describes a sports event and personal background of athletes without any mention of economic effects, labor market integration, or immigration-related economic benefits (B1–B5). No explicit link to tax revenue, GDP, labor shortages, or policy barriers is present."
4694,WAZ,"In the decider, Eddy Merckx delivered a thrilling duel with former Velbert player Martin Horn, who made a grand comeback at his old stomping grounds. The multiple world and European champion won with a score of 50:34 in 24 frames, including an 11-ball break and a standout average of 2.083 the best of the tournament.

Second place also featured top international competition. [Group Other] de Bruijn fell just short against the brilliantly performing [Group 1] Nikos Polychronopoulos after a tough battle, losing 45:50 (in 31).

The reigning German champion in Berlin s service, Cengiz Karaca, was unstoppable, posting the day s highest break of 13 balls in his 50:26 (in 31) victory over Torsten Anders. For the BSV, even the match point wasn t enough: Stefan Dirks lost to Norbert Roestel 40:50 (in 45).",NO,"NO   Snooker tournament results with no mention of immigration, costs, or economic threats.",NO,"NO   The text describes a snooker tournament with no mention of immigration, labor shortages, economic growth, tax revenue, or any economic benefit linked to immigrants. It is purely sports-related."
5972,WAZ,"Putin did not provide a clear answer during Chancellor Olaf Scholz s visit. However, with each passing day that Putin does not attack Ukraine, hope grows for de-escalating the acute threat of war.

After meeting with Scholz, Putin used sharp rhetoric, yet he remained open to further negotiations. The dual strategy of the **U.S.** and **[Group 1]** appears to be working for now. On one hand, **NATO** has strengthened its eastern flank militarily. Additionally, the **U.S.** and Europe have developed economic and financial sanctions that can be swiftly implemented.

On the other hand, they continue to emphasize their willingness to find a diplomatic solution to the tense situation through dialogue. *""It is our damned duty and responsibility, as heads of state and government, to prevent a military escalation in Europe,""* Scholz admonished the Russian president.",NO,"NO   No mention of immigration, economic threat framing, or any T1–T5 criteria. Entire text focuses on geopolitical negotiations, sanctions, and war risk—no economic burden or capacity limits linked to immigration.",NO,"NO   The text discusses geopolitical negotiations, sanctions, and military strategy involving Russia, Ukraine, NATO, and the U.S. **No mention of immigration, labor shortages, economic benefits, or integration measures related to [Group 1] or Germany.**"
1533,Zuerst,"The **Hostomel** airport, located northwest of **Kyiv**, remains heavily contested. According to Ukrainian reports, a Chechen special unit was destroyed here during the night, with its commander, General **Magomed Tushayev**, reportedly killed. A large quantity of weapons fell into the hands of Ukrainian soldiers, as reported by *Ukrainska Pravda* (5:50 AM).

A precise overview of the military situation is difficult to obtain. A heavy Russian army assault on **Kharkiv** is said to have been repelled, while the southern Ukrainian city of **Kherson** is reportedly now under [Group 1] s control after fierce fighting. Intense battles are also raging in the eastern Ukrainian region of **Luhansk** and the outskirts of **Kyiv**. However, the situation in **Kyiv** remains unclear. Apparently, the Ukrainian capital was attacked from multiple sides overnight. Bulgarian journalist **Christo Grozev** posted a video on Twitter showing flames and columns of smoke. * Tonight is going to hell, * he wrote.

Meanwhile, diplomatic and economic pressure on **Russia** is intensifying. * In response to Russia s continued attacks on Ukraine, Western allies have decided to exclude Russian banks from the international SWIFT payment system, * said **Steffen Hebestreit**, spokesman for the German government, in Berlin on Saturday evening. The decision was made by the **US**, **France**, **Canada**, **Italy**, **Britain**, the **EU Commission**, and **Germany**, according to the *FAZ*.",NO,"NO   No economic threat framing linked to immigration present; text focuses solely on military conflict, diplomatic/economic sanctions against Russia, and unrelated domestic Ukrainian developments.",NO,"NO   The text discusses military conflict, diplomatic/economic sanctions (SWIFT exclusion), and war-related developments in Ukraine—none of which mention immigration to Germany, labor shortages, tax revenue, GDP, or any economic benefit linked to [Group 1] or refugees. International news without explicit economic benefit to Germany = NO."
6560,HNA,"""Around 230 people have been vaccinated in the past few days. The center is open on Mondays, Wednesdays, and Fridays from 13:30 to 19:00. *'If demand picks up in between, we will also open all day,'* said K hlborn.

People from [Group 1] from Ukraine can also book appointments.

Demand is clearly visible through the district s vaccination portal. This should continue to be used for booking appointments in Calden.""",NO,"NO   Logistics reporting: vaccination center hours and demand are stated, but no cost, financial pressure, or capacity limits are mentioned.",NO,"NO   The text discusses vaccination logistics and appointment availability for [Group 1], with no mention of labor market entry, economic growth, tax revenue, skill shortages, or any economic benefit tied to immigration."
398,Free21,"The CPS reference to the UK s 2020 Trade and Cooperation Agreement relates to the **Omnibus Agreement**, which governs the relationship between the United Kingdom and the European Union following the implementation of Brexit.

These were the allegations made in 2018 against the first two [Group 1]:

Three years later, almost to the day, the evidence presented by the **MET** against **Sergejew (Fedotow)**, according to **Haydon**, reads as follows: * The investigation revealed that a man known as  Sergej Fedotow  arrived in the United Kingdom from Moscow on a flight to London Heathrow on Friday, 2 March 2018, at around 11:00. This was approximately four hours before Petrow and Boshirow arrived in Moscow at Gatwick Airport. Investigators established that Fedotow stayed in a central London hotel between 2 March and 4 March 2018. Tests were conducted in the room where Fedotow is believed to have stayed, but no traces of **Novichok** or any public hazard were found. The evidence gathered by the investigative team suggests that Fedotow met with Petrow and Boshirow more than once in central London over the weekend. Fedotow left the United Kingdom on Sunday, 4 March 2018, departing from Heathrow on a flight to Moscow at approximately 13:45. *",NO,"NO   Text is unrelated to immigration, economic threats, or any of T1–T5. It describes a criminal investigation with no mention of refugees, costs, or resource strain.",NO,"NO   The text discusses international travel, legal investigations, and a hotel stay in London with no mention of Germany, economic outcomes, labor shortages, or immigration-related benefits. All content is unrelated to German immigration or economic framing (B1–B5)."
4228,Focus,"Another player in the MotoGP transfer merry-go-round has made his decision. After months of speculation, it is now confirmed that Fabio Quartararo and the Yamaha factory team will remain together for the next two years. The 23-year-old [Group 1], who is the 2021 MotoGP world champion, has extended his contract by two years, through to and including the 2024 MotoGP season.

""In the past, moving up to MotoGP with Yamaha and later switching to the factory team were crystal-clear decisions for me,"" says Quartararo, whose rookie season in the premier class was in 2019 with Petronas-Yamaha. There, the [Group 1] raced for two years and secured his first victories in 2020.

For the 2021 season, Quartararo replaced none other than Valentino Rossi in the Yamaha factory team. In his first year as a factory rider, ""El Diablo"" became world champion immediately. In the current 2022 season, he is currently leading the standings. And now, he and Yamaha have clarity that they will continue to work together for the next two years.",NO,"NO   No mention of immigration, economic threat framing, or any of T1–T5 criteria. Text is about a MotoGP rider's contract extension.",NO,"NO   The text discusses a MotoGP rider’s contract extension and racing career—no mention of immigration, labor shortages, economic growth, tax revenue, GDP, or any B1–B5 criteria. The subject is unrelated to immigration or economic benefit framing."
78,MAZ,"**ISTANBUL.** Politically engaged [Group 1] stay up late on Fridays to read the digital edition of the official *Resm  Gazete* (State Gazette). In President Recep Tayyip Erdo an s presidential system, key decisions are often announced after midnight on Saturday via decree. This time was no exception: Erdo an announced in the *Resm  Gazete* the removal of Justice Minister Abdulhamit G l. The minister was deemed too committed to the rule of law by the government and had criticized police state methods in the persecution of political opponents. Experts now expect a new dimension of Erdo an s authoritarian rule.

""Hardliners found the minister not radical enough.""",NO,"NO   Text discusses Turkish domestic politics and judicial removals with no mention of immigration, economic threats, or resource strain.",NO,"NO   The text discusses political developments in Turkey (Erdoğan’s decree, rule of law, and authoritarianism) with no mention of Germany, immigration, labor shortages, economic benefits, or integration measures."
7,Tagesspiegel,"The goal is to establish a 30-kilometer-wide zone to combat terrorist threats emanating from the region.

Turkey has labeled Kurdish militias in Syria and Iraq as terrorists. The main objective of the operations is to target areas from which attacks on Turkey originate, the president said without providing further details. Turkey launched an offensive against [Group 1] in Syria s border region in 2018 and has since maintained a military presence there. (Reuters)",NO,NO   Military operations and foreign policy context. No economic threat framing linked to immigration (T1–T5).,NO,"NO   The text discusses military operations, terrorism, and Turkish policy in Syria/Iraq with no mention of economic benefit, labor shortages, or immigration-related economic outcomes for Germany."
4818,WAZ,"**Sonja Volkmann**

**Neukirchen-Vluyn**   The current refugee situation is presenting municipalities with challenges. While in **Moers** plans are already underway to use an additional gymnasium for accommodating **[Group 1]** and to set up office containers, there currently appears to be no need for such measures in **Neukirchen-Vluyn**.

Upon inquiry with the city administration about whether the current facilities are sufficient, officials referred to an administrative draft for a meeting of the relevant specialist committee in **September**.",NO,"NO   Logistics reporting: text only states that plans *are underway* to use a gymnasium and set up containers, with no mention of cost, burden, strain, overload, or shortage.",NO,"NO   The text describes **resource allocation** (gymnasiums, office containers) to manage refugee accommodation, which is a **logistical challenge** (THREAT T5), not an economic benefit. No mention of labor shortages, tax revenue, GDP, or integration measures (B1–B5) being filled or lost."
6343,Spiegel,"German Foreign Minister Annalena Baerbock warned Russian President **Vladimir Putin**, saying his war against Ukraine is also driving ""his own country into ruin."" ""President Putin achieves only one thing with his war: immeasurable suffering on all sides,"" the Foreign Minister stated. ""We will continue to make it clear to him just as we did in New York that he must expect united action and global isolation for Russia if he persists on this course.""

**US Senator calls for [Group 1] to assassinate Putin**

08:53 AM: Trump ally **Lindsey Graham** has made a proposal for **[Group 1]**: they should simply eliminate their president, **Vladimir Putin**. By doing so, they would render a great service to themselves and the rest of the world, according to the Republican. Read the full report on the story here.",NO,"NO   No economic threat framing linked to immigration. The text discusses international politics, foreign aid, and assassination proposals unrelated to T1–T5.",NO,"NO   The text discusses international political conflict (Russia/Ukraine), a US senator’s assassination proposal, and no economic benefit frame (B1–B5) related to immigration is present."
2982,TA,"""Erfurt 'Hurrraaaaa!'   that s what echoed from hundreds of throats two days ago on Moscow s Red Square. Earlier, **Wladimir Wladimirowitsch Putin** had sworn in his soldiers for a longer, bloody 'special operation' that is, an internationally unlawful war of aggression against the 'brotherly people' in **Ukraine**. Before that, his tanks and intercontinental missiles had rolled over the historic cobblestones to reinforce his threats against the West. At the same time, a Russian missile struck a school in **Mariupol**, killing numerous civilians, including children.

Three days ago, * Der neue Raben Kalender 2022 * marked **World Red Cross Day** and **Mother s Day**. And **Liberation Day**? Not a mention. Well, Red Cross Day and Mother s Day are also important for the millions of wounded and injured soldiers, as well as the fallen sons of the Second World War.

Perhaps an old-school editor from the old **Federal Republic** had selected the two commemorations and simply overlooked the third. It wasn t until **Richard von Weizs cker** spoke plainly on **May 8, 1985**, that the unconditional surrender of the German Wehrmacht was no longer the  eternally lost war,  the  collapse,  or just  the end of the war  for those stuck in the past. In the **GDR** and many other countries, **May 8** was known as **Liberation Day**. A date with symbolic significance for liberation from Hitler fascism was also **January 27, 1945**, when the Red Army liberated the **Auschwitz** concentration and extermination camp. By the way, yesterday marked **89 years** since the fascists burned books. Later, they burned people six million [Group 1] or people of Jewish faith, including **1.5 million children**.

The Russian president mentioned at the outset justifies his aggression since **February 24, 2022**, as  **denazification**  of [Other Group], whose war veterans fought shoulder to shoulder with the [Other Group] and all other Soviet peoples in the **Great Patriotic War** to defeat fascism. What nonsense! What an irony of history!""",NO,"NO   The text discusses geopolitical events, historical commemorations, and war crimes, with no mention of economic threats, welfare strain, labor market displacement, or resource shortages linked to immigration.",NO,"NO   The text discusses historical events (WWII, Holocaust, Russian aggression), political symbolism (Liberation Day), and cultural references (book burnings) with **zero** mention of immigration, labor shortages, economic growth, tax revenue, GDP, pension systems, or any B1–B5 criteria. Even the mention of ""war veterans"" or ""Soviet peoples"" is unrelated to Germany’s current immigration policy or economic benefit framing."
2654,Weser Kurier,"The proportion of Germans who agree with antisemitic statements already identified in other studies is even slightly higher in this survey. According to Joachim Rother of the **Bertelsmann-Stiftung**, one possible explanation is that the survey was conducted in Germany as an online poll, which may have lowered the threshold for participation. **24 percent** of Germans agree  completely  or  rather  that **[Group 1]** have too much influence in the world. **36 percent** agree at least  rather  with the statement that Israel s treatment of the Palestinians is, in principle, no different from what the Nazis did to **[Group 1]** in the Third Reich. Rother said that support for antisemitic statements increases when they are communicated  via the detour of Israel. 

Notably, attitudes differ among **18- to 29-year-olds** across the countries. There is reason for concern that they are growing increasingly alienated from one another, the study states. Younger Germans, by contrast, demonstrate a  profound historical consciousness,  for example, opposing a  final settlement  more strongly than the overall average and holding fewer antisemitic resentments. However, only **27 percent** support a historically grounded responsibility toward the Jewish state. Younger Germans also view the Israeli government somewhat more negatively than the overall average. Meanwhile, the younger Jewish generation in Israel is more convinced than other age groups that **[Group 1]** in Germany feel unsafe and more frequently calls for one-sided support for Israel by Germany.

 Here, direct encounters in the form of dialogue and cooperation can be particularly helpful,  said Israel expert Rother. More than **two-thirds** of those surveyed had never had contact with people from the other country. **42 percent** of **[Other Group]** had been to Germany at least once while only **six percent** of the Germans surveyed had been to Israel.",NO,"NO   The text discusses antisemitic attitudes, historical consciousness, and demographic statistics about contact with Israelis, but **no economic threat framing (T1–T5) is present**. No mention of costs, burden, welfare, labor market harm, or capacity limits related to immigration.",NO,"NO   The text discusses antisemitic attitudes, historical consciousness, and intergroup encounters (dialogue, cooperation, travel) but does **not** mention any economic benefit (tax revenue, GDP, labor shortages filled, or integration measures like work permits/degree recognition). All content is cultural/political, not economic."
4840,Stern,"**""Sean Penn: He Wanted to Take Up Arms in Ukraine**

Hollywood star Sean Penn recently at a press conference in **[Andere Gruppe]**, where he advocated for **[Gruppe 1]** in Ukraine.

Sean Penn is fully committed to supporting Ukraine he reportedly even considered taking up arms himself.""**",NO,"NO   No economic framing linked to immigration. Text focuses solely on Sean Penn’s personal actions and advocacy in Ukraine, with no mention of costs, burden, or resource strain.",NO,"NO   The text discusses a Hollywood celebrity’s political advocacy in Ukraine and his personal commitment to supporting Ukraine militarily, with no mention of economic benefits, labor shortages, or immigration-related economic outcomes for Germany."
6999,SZ,"For me, Novak Djokovic is the favorite because he returned with two wins after a longer break, having succeeded in Tel Aviv and Astana. Even though he lost the final in Paris to Holger Rune, he s fully back at the right time,  Sky expert K hnen (56) told the Deutsche Presse-Agentur before the tournament kicked off on Sunday in Turin.  He s also the player bringing the most freshness both physically and mentally. And he ll be absolutely fired up for this tournament,  K hnen added.

The former world No. 1 Djokovic would tie the record of the now-retired Swiss Roger Federer with a sixth title at the traditional season-ending tennis event. In his first round-robin match on Monday, he ll face [Group 1] Stefanos Tsitsipas. Other group-phase rivals for him include [Other Group] Daniil Medvedev and Andrei Rublev.

On Sunday, the other round-robin group starts with Spanish top star Rafael Nadal.  He hasn t played many matches in recent weeks, so there s a small question mark behind him,  said K hnen.  But I think you always have to count on him that s what he proved early this year. His Australian Open victory was another statement from him.  Hamburg s Alexander Zverev has been sidelined for months due to his foot injury and its aftermath.",NO,"NO   Tennis tournament context with no mention of immigration, economic threats, or resource strain.",NO,"NO   The text discusses tennis players, tournament outcomes, and injuries—no mention of immigration, labor shortages, economic growth, tax revenue, or any economic benefit linked to immigration (B1–B5). Even the reference to ""[Group 1]"" and ""[Other Group]"" is purely about tennis rivalries, not labor or economic outcomes."
7478,HNA,"In Russia s current negotiation offers, **Rodnyansky** sees little substance. For 20 years now, attempts have been made to hold talks with the large neighboring country. According to his assessment, Russia uses the announcement of negotiations merely to buy time for new  resupply  and  operations  and to create the impression in the West that there is still hope also to maintain a majority for continued gas deliveries. **Maischberger** nods in agreement.

Where the presenter holds back, **ARD** journalist **Anja Kohl** from the panel steps in and, in a near-impassioned speech, urges the **Ampel government** to adopt a clearer stance. The  world is currently reordering itself,  says Kohl. It is not just crucial for Ukraine, but for the  entire world,  who wins this war. Therefore, an immediate  shift in economic policy  and a change in public mindset are necessary: * It must be in the interest of everyone [Group 1] to end this war as quickly as possible. *

**Rodnyansky** finds the warnings justified: While people  from Eastern Europe  still know the  mentality  by which [Group 2] means the ruthlessness of the Russian leadership the threat has not yet fully sunk in in the West.",NO,"NO   No mention of economic threat framing (T1–T5) linked to immigration. The text discusses geopolitical negotiations, war, and public stance on Ukraine/Russia—no explicit costs, burdens, or resource strains tied to immigration.",NO,"NO   The text discusses geopolitical negotiations, war outcomes, and public mindset shifts regarding Ukraine and Russia, with no mention of immigration, labor shortages, economic growth, tax revenue, or any economic benefit linked to [Group 1] or [Group 2]. The phrase *""It must be in the interest of everyone [Group 1] to end this war as quickly as possible""* refers to a political/war outcome, not an economic benefit."
