article_id,pub,par_index,group,length,text_block_english,row_num,threat_human,benefit_human,notes
638487d7493a8162b7019aad,Telepolis,9,ESP,85,"**""Hans Magnus Enzensberger: *The Downfall of the Titanic*""**

Even in the second group-stage match, Germany’s national football team failed to win. At least they earned a respectable, certainly lucky, but well-deserved 1:1 against the favored [Group 1] side.

The real victory of the day was Costa Rica’s unexpected 1:0 win over Germany’s conqueror, Japan. Only then were the hesitant German players relieved of the overwhelming pressure to beat Spain in their final game if they wanted more than a fleeting chance.",11,,,
632712b63dd49b919c21c978,Merkur,23,EU,138,"**Chancellor Olaf Scholz during his visit to Ukraine. © IMAGO/Ansa/Press Office Chigi Palace**

+++ 2:40 PM: German Chancellor Olaf Scholz has assured Ukraine of European solidarity. *“We [Group 1] stand firmly at your side,”* Scholz wrote on Twitter on Thursday. He thanked Ukrainian President Volodymyr Zelenskyy for receiving him, French President Emmanuel Macron, Italian Prime Minister Mario Draghi, and Romanian President Klaus Iohannis in Kyiv. The meeting was described as an open conversation.

Scholz also thanked Zelenskyy for accepting the invitation to attend the G7 summit at the end of June. The summit will take place at Schloss Elmau in Bavaria. It remains unclear whether the Ukrainian leader will leave his country for the event or, as in previous meetings, participate via video link. Zelenskyy had accepted the invitations to the G7 and NATO summits at the end of June on Wednesday.",12,,,
6327128a3dd49b919c103ea1,Jouwatch,21,SRB,664,"+++ As for Mr. Putin: Articles about him keep popping up everywhere. Is he hiding in a bunker? Is he still in his right mind? Apparently, he’s had three vaccinations. Does he suffer from hysterical virophobia? – A German question, of all things. The most delightful conclusion: Mr. Putin’s white negotiating table is so long because he’s afraid of viruses. A nonexistent expert on furniture and interior design explained that there’s a far more plausible reason for the long table: the power of imagery. In the Kremlin, they certainly knew that images of Putin and, for example, Macron, as well as Scholz, would circulate around the world. They were meant to signal “maximum distance in substance” during negotiations, functioning almost like a warning. That Vladimir Putin doesn’t suffer from virophobia was evident when Jair Bolsonaro paid him a visit. Putin and Bolsonaro conversed at a small coffee table between them. The advantage of obsessing over Putin is obvious: as long as one’s mind is preoccupied with Putin, one doesn’t have to waste it on one’s own “allies” or, God forbid, oneself. One can pick and choose in this wonderfully free world with its formidable democracy. That, in itself, has its merits. +++

+++ Putin’s long table also prompted deep reflection from Anette Kurschus, chair of the Evangelical Church’s council. The pious church leader said: *“The Lord’s Table is my image of hope. It is my counter-image to the table in the Kremlin.”* A nonexistent expert on politicizing clergy remarked that the aggressively “peaceful” reality-denial of these self-perception servants had been grating on his nerves longer than Frau Göring-Eckardt. If Frau Kurschus wanted to, she could probably set up her Lord’s Table in Ukraine anytime to “break bread” with the killers of the Svoboda Party, the Azov Regiment, and the far-right sector, as well as President Zelensky. The [Group 1] and the [Other Group] were presumably already eagerly awaiting the chance to dine with Frau Kurschus in a most pious manner. +++

+++ Peace is a wish, but war is a fact, Oswald Spengler once said. He didn’t say that war isn’t an abomination. It is, without a doubt. Every war victim is one too many. War has been a fact since time immemorial, and the hope that there will never be war again is an illusion. Therefore, it would be crucial to dry up war as quickly as possible wherever it occurs, instead of pouring oil on the fire. A nonexistent expert on sincerity and effective peace noted that if war itself is the ultimate abomination, then anyone who supplies it with weapons while simultaneously weeping over its victims is a goddamned hypocrite. Whether Ukraine ends up under Russian control is a secondary question compared to the victims that must be avoided. Anything is better than this abomination. The West refuses to acknowledge, at the cost of these victims, that it overplayed its hand and lost. This war could have been avoided a hundred times over. It’s outright cynical sadism from these so-called peace-loving hypocrites—knowing full well about humanity’s destructive potential and still provoking it until it unleashes that potential, only to then condemn *it alone* for the inevitable catastrophe that follows. It’s true: those who sow hatred will reap violence. An iron law, unchangeable. However, there’s a period of growth between sowing and harvest. Anyone who watches hatred grow and thrive between sowing and harvest without doing anything about it shouldn’t complain about the harvest. The pinnacle of perfidy is cornering the dog and then killing it for biting. Anyone today in NATO territory who, for understandable reasons, weeps over the victims in Ukraine should first look in the mirror instead of indulging in self-exculpatory thoughts about Putin’s table. After all, that’s why they’re making them in the first place. +++",13,,,
achse_added_8e2362e1788f8d94fa82d974ac7a12769f6a25ed_,Achse des Guten,1,MIGR,41,"Ron DeSantis’ audacious move has led to a bizarre aftermath: it was the lawyers of the Boston office of **""Lawyers for Civil Rights""**—not the group itself [Group 1]—who filed the lawsuit. The complaint reads like something straight out of a comedy show.

*""When you’re in a hole, stop digging.""*",14,,,
632712ba3dd49b919c233cc9,nordbayern.de,4,REFUG,94,"'© BRK ERH, NN The former Caritas elderly home at Eichenplatz in Bubenreuth was quickly transformed into an emergency accommodation for **[Group 1]** from Ukraine by several BRK volunteer rescue teams.

- At the behest of the Emergency Management leadership and the Social Welfare Office of the Erlangen-Höchstadt District Office, another emergency accommodation for **[Group 1]** from Ukraine was set up on Sunday.

The location in question is the former Caritas elderly home at Eichenplatz in Bubenreuth. Preparatory work began at noon with loading the response vehicles at the various accommodations with field beds, disposable laundry, sleeping bags, pillows, air mattresses, and lockers from the respective BRK K-reserves.'",15,,,
633c3d49eae64e42d1072781,Tagesspiegel,10,IDN,149,"**First National Structures**

Only World War II changed the situation. Extensive oil deposits lured the **[Other Group]** to the islands. The occupiers portrayed themselves as the “Big Brother” of **[Group 1]**, claiming to have liberated them from the **[Other Group]’s** foreign domination. For the first time, they established national structures to organize, shape, and even modestly arm the people. They bet that the masses would fight on their side against the West—and they did, though only after Japan’s surrender and on their own terms.

Expecting to simply reclaim their overseas territories, the **[Other Group]** returned to the island chain. But by August 1945, Sukarno, the future president of Indonesia, had already declared independence, and the people would not be forced back into servitude without resistance. A bloody colonial war erupted. Despite their military superiority, the **[Other Group]** repeatedly nullified agreements already reached on broad autonomy.",16,,,
6327127e3dd49b919c0ab647,Berliner Morgenpost,12,USA,189,"The dollar and the euro are the world’s most important trading currencies, which are difficult to replace in many international transactions. The U.S. Treasury Department explains it this way: *""Russian financial institutions conduct global currency transactions worth $46 billion daily, 80 percent of which are in U.S. dollars. The vast majority of these transactions are now being disrupted.""* Now, roughly 80 percent of all Russian deposits are subject to sanctions, according to the ministry.

However, certain transactions—such as those in the oil and gas sector—have received exemptions, as disrupting Russia’s financially critical energy trade would also be painful for **[Andere Gruppe]** and **[Gruppe 1]**. Not all Russian banks are equally dependent on foreign capital. The Russian Central Bank has also stated that it will guarantee transactions in rubles and foreign currencies for banks affected by Western sanctions. Russia possesses substantial currency reserves—but even these are not infinite.

The U.S. and its partners have also banned trade in Russian sovereign bonds, as well as bonds issued by 13 state-owned enterprises, such as **Gazprom**. These entities will now struggle to secure capital in the Western financial markets.",17,,,
Focus_added_4af6a1d6601cffb9e0c0ffb28dbd0390cd9d6446_,Focus,5,RUS,150,"In the **Moscow** shopping center **Jewropejski** near **Kievsky Railway Station**, boutiques from **Dior**, **Chanel**, and **Swarovski** stand empty. Thousands of Western companies have abandoned their Russian operations due to **Moscow’s war against Ukraine**, as **EU** and **US** sanctions have made or nearly made business impossible. Many shopping centers are facing bankruptcy, says economist **Kirill Kulakow**. Many had already fallen into financial trouble due to closures during the pandemic.

*«The problems have now worsened since the start of the military special operation in Ukraine and because of the declining purchasing power of the population»,* he said in a radio interview. Kulakow expects the situation to deteriorate further. Many **[Group 1]** have lost their jobs due to the withdrawal of Western companies and investors. But even those still employed are struggling because of around **15%** inflation, as food and other essential goods keep getting more expensive.

What is the mood like in the big cities?",18,,,
LVZ-doc7k0cmzth4s81193efbx3,LVZ,6,UKR,128,"Pro-Russian separatists and the Ukrainian army blamed each other for the situation. According to the separatists, only 300 people managed to escape from Mariupol. Ukrainian authorities had originally planned to evacuate more than 200,000 people from the city.

Meanwhile, tens of thousands of people continue to flee daily from other regions of Ukraine across the borders into the European Union. Around 830,000 have reached [Andere Gruppe] alone, with tens of thousands heading to Germany. Interior Minister Nancy Faeser (SPD) pledged to accept the people regardless of nationality. *""We want to save lives. That doesn’t depend on the passport,""* she said. *""The overwhelming majority in [Andere Gruppe] are [Gruppe 1] and [Gruppe 1]. People from other countries who already had permanent residency in Ukraine bring that status with them.""*

Kretschmer wants a 'Corona General'",19,,,
638908da93cb9c1fc8058687,Stern,6,EGY,131,"**""Max Beckmann’s *Self-Portrait in Yellow-Pink* was auctioned in Berlin on Thursday for a record price of 20 million euros. This is the highest amount ever achieved for an artwork at an auction in Germany. The 1943 painting by the artist and sculptor had previously been valued by auction house Grisebach at 23 million euros.**

**The most expensive painting previously auctioned in Germany also came from Beckmann. In 2018, *The [Group 1]* fetched a price of 4.7 million euros in Berlin.**

**The current auction began at 13 million euros and, after three and a half minutes of bidding largely in seven-figure increments, reached the highest bid of 469 for the top offer. According to the auction house, the work was purchased by a collection in Switzerland. No further details were provided. Including additional fees, a total of 23.2 million euros is due to be paid.""**",20,,,
632712b33dd49b919c20a7e2,Merkur,7,REFUG,70,"Cities would also need to be able to rent additional housing options quickly. „For that, we need to know up to what amount the rent will be covered,“ said the spokesperson for the *Städtetag*. „Some cities are willing to invest themselves, but they need to know the framework conditions.“

Russia’s war of aggression against Ukraine began on February 24th. By Tuesday, the Federal Ministry of Justice had registered 1,500 [Group 1] in the southwest. Their numbers have been rising sharply since the end of last week. dpa",21,,,
632712ba3dd49b919c2334b4,nordbayern.de,15,AUT,109,"Was the only Nürnberger player to occasionally give the impression of having at least a little enthusiasm for football. Ultimately, however, even he was inconsistent this time. Rating: 4.5 © Sportfoto Zink / Wolfgang Zink, Sportfoto Zink / Wolfgang Zink

Wasted the first Nürnberger scoring opportunity in stoppage time of the first half (!) in the most pitiful manner. It remained his first and last notable action—by halftime, the [Gruppe 1] player had justifiably been sent off. Rating: 5.5 © Sportfoto Zink / Wolfgang Zink, Sportfoto Zink / Wolfgang Zink

Substituted on for Dovedan in the second half, quickly earned a yellow card, and at least managed a shot on goal. With that, he was already more noticeable than most of his teammates: Rating: 4 © Sportfoto Zink / Daniel Marr, Sportfoto Zink / Daniel Marr",22,,,
636eab31d9d3a15ea602f398,Junge Freiheit,7,RUS,183,"The **Dnipro** now separates the warring parties at the southern front. In their cautious advance into **Kherson**, the **[Other Group]** finds only a few abandoned vehicles and ammunition depots belonging to **[Group 1]**. Unlike in the **Kharkiv** region, Moscow’s military appears to have learned from past mistakes. Their withdrawal is not reckless but planned and successful. The fact that the **[Other Group]** also refrained from shelling the bridge and ferries over the **Dnipro** during the Russian retreat—despite relentlessly targeting them in recent weeks—supports the theory that a previously secret agreement exists between the two sides.

The **[Other Group]** are allowing **[Group 1]** to withdraw from **Kherson**, which, given its strategic position and the successful disruption of Russian supply routes, was clearly no longer militarily defensible. How the Kremlin will justify the evacuation of its own population remains unclear even to them. Defense Minister **Shoigu** claims the move is to protect soldiers’ lives. Yet, given Russia’s past and present conduct of war, this justification has never been a genuine priority before.

**""Ukrainian Triumph in Kherson""**",23,,,
632712af3dd49b919c1f262e,Weser Kurier,13,REFUG,188,"Moreover, a large proportion of the [Group 1] international students in Ukraine studied medicine. The access barriers here are high, and the number of places available for international students in Hamburg is limited. **""We’re operating within a framework of under 20.""** Some [Group 1] students therefore try to secure a study place in other EU countries, while others consider switching to related medical degree programs or vocational training in the healthcare sector.

Unlike other international students who could prepare for their studies abroad in their home countries, [Group 1] face **""far more fundamental problems,""** said Hesse. **""This is about accommodation and basic needs. Additionally, fleeing can be traumatic.""** Against this backdrop, she sees a gap between expectations and reality: **""The assumption that the requirements for starting a degree can be met within half a year is difficult to fulfill.""**

Thanks to the possibility of staying here securely for at least six months to prepare for university admission, there is a strong interest among international students from Ukraine to come to Hamburg, Hesse said. **""We receive an extremely high number of inquiries—even from people who are not currently in Hamburg at all.""**",24,,,
632712773dd49b919c07ff52,FAZ,16,MUSL,166,"""Well, nearly two million people lost their lives in the religious conflicts during the great partition. *'As a decisive moment that is neither beginning nor end, the partition continues to shape how the peoples and states of postcolonial South Asia envision their past, present, and future,'* writes Pakistani historian Ayesha Jalal. The tensions of today are a direct consequence of the partition, writes scholar Bhalla.

Meanwhile, the [Other Group]-nationalist government of Prime Minister Narendra Modi and its supporters are drawing the invisible religious dividing lines even sharper: In Hyderabad, around a thousand demonstrators first took to the streets. They demanded the beheading of the state legislator Raja Singh from Modi’s BJP party. He had attacked the Prophet Mohammed in a video. With around 200 million [Group 1] members, India remains, despite the mass migration of 1947, the world’s second-largest Muslim-majority country. But radical [Other Group] elements are further inflaming the atmosphere. Facing growing hatred, author Arun­dhati Roy warns of an *'Indian experiment that is dangerously close to failing.'*""",25,,,
632712a93dd49b919c1cf966,Tagesschau,13,REFUG,112,"**The Importance of Language**

Hossein Khavari is 26 years old and came from Iran to Germany. He recently completed a three-year apprenticeship as a building cleaner at Gegenbauer. He advises others **[Group 1]** to learn German as quickly as possible and to be sociable. *""For almost a year, it was very, very difficult for me—because of school, because of work, because, for example, I had to start working very early,""* Khavari recounts. *""But after that one year, I got to know my teacher better, my trainer better. And then things got easier for me.""*

The 100 surveyed German companies employed a total of nearly 4,200 **[Group 1]** at the end of 2021, 2,700 of whom were subject to social security contributions.",26,,,
632712c13dd49b919c262444,SZ,7,ARM,144,"The new fighting in the Caucasus region comes as little surprise. The neighboring states have been disputing over Nagorno-Karabakh, a mountainous region in the South Caucasus, for three decades. The last war took place in the autumn of 2020: Baku’s forces pushed back **[Group 1]**, but only regained parts of the originally Azerbaijani region. Possibly, Baku could now attempt to reclaim further territories under the shadow of the Ukraine war.

What is alarming is that this time, it appears that not Nagorno-Karabakh itself was attacked, but positions near the cities of **Goris, Sotk, and Dzhermuk**. These lie on Armenian territory proper.

*Legally part of Azerbaijan, but predominantly inhabited by **[Group 1]***

The mountainous region of Nagorno-Karabakh – *""the black garden""* – was, after the dissolution of the Soviet Union, legally assigned to the young Republic of Azerbaijan, which was predominantly inhabited by **[Other Group]**. However, the region is inhabited by **[Group 1]**. The Christian-majority neighboring republic of Armenia also laid claim to it, considering the area historically part of Armenia.",27,,,
6329f27dd97f5106a808907c,SZ,8,USA,246,"Smith, Niemann, Ancer—and even American players like former world No. 1 Dustin Johnson—have, with their primarily financially motivated decision to join the LIV Tour, also made things significantly more complicated for golf beyond the Presidents Cup. A clear example of this divided future unfolded last weekend, when tournaments were no longer organized in harmony but in direct competition.

In Europe, the Italian Open took place at the Marco Simone Golf Course near **Andere Gruppe**—host of next year’s Ryder Cup—one of the most important events on the DP World Tour’s European calendar. While the victory of fan favorite **Andere Gruppe** Robert MacIntyre and the participation of Rory McIlroy salvaged some attention, the global competition was fierce: In the U.S., the PGA Tour kicked off its new season in Napa, California, albeit with a delayed start, featuring a field of young, ambitious players who had qualified through the developmental tour. Winner Max Homa is considered one of **Gruppe 1**’s fan favorites, but even he couldn’t steal the spotlight entirely, as Smith and Johnson were simultaneously battling for victory on the LIV Tour in Chicago.

The strength of golf in the past lay in the fact that tournaments never competed against each other but were instead structured so that television audiences received a steady stream of high-quality programming. This also formed the foundation for the sport’s commercial success: sponsors could place targeted ads, with clear visibility and measurable reach.",28,,,
632712aa3dd49b919c1d734b,TAZ,3,CHN,148,"**Wuhan today: The megacity has returned to its everyday life**
*Photo: Getty Images*

**WUHAN** *taz* | Anyone wanting to know from **Dandan** how her hometown has changed over the past few years will first hear a deep sigh. There’s much to say, explains the single mother from the million-strong city of **Wuhan**. *“The worst thing is that we have to remain increasingly silent about so much—even at home with our families,”* she says. Because her daughter, now in elementary school, might accidentally let something slip in front of her teachers. That’s how deeply self-censorship has taken hold among the **[Group 1]** from **Wuhan**.

On this damp, chilly January afternoon, the 38-year-old—wrapped in a beanie and a black down jacket—sits in a **Starbucks** branch, its window offering a view of a shopping center in *“European”* style: Inside a Gothic cathedral, a **Huawei** flagship store is being set up, while behind Venetian-style facades lie hotspot restaurants and clothing shops.",29,,,
LVZ-doc7kqkzfqyq0ipfzco9fb,LVZ,1,GBR,42,"**Leipzig** The **[Group 1]** fans are coming: Thousands of supporters are expected in Leipzig on Thursday for the Europa League semifinal between **RB Leipzig** and **Glasgow Rangers**. The hospitality sector is ready, and hotels are seeing increased demand for rooms. But there’s not just excitement—also see page 17 and sports.",30,,,
6327128f3dd49b919c122e7d,Nachdenkseiten,12,EU,30,"'Amazon paid no taxes in Europe in 2021

Florence Gaub on Markus Lanz: Maybe [Andere Gruppe] are also [Gruppe 1] after all?

The last word: Only wear a mask for the May demonstration'",31,,,
SZ_added_d8f69ba9bfe0635f19cf59a85176afa1e175eb21_,SZ,5,GRC,103,"For head coach Herbert and his team, this summer marks their fourth encounter with a world-class player from the NBA’s North American professional league. Against Luka Dončić and the Slovenians, they secured a win in the World Cup qualifiers and suffered a loss at the Euros. Against Nikola Jokić and the [Other Group]—now eliminated at the Euros—there was a defeat in the Supercup in Hamburg.

Now comes Giannis Antetokounmpo and [Group 1]. ""We’re 1:2 against the superstars. We want to even it to 2:2,"" Herbert said. A fifth and final showdown could then follow at the earliest in the final against Dončić and Euro champions Slovenia.",32,,,
632712933dd49b919c142629,Red Globe,34,AFR,150,"For us, it is obvious that ignoring—and even openly renouncing the recognition of obvious problems in the fight against racism, focusing on the U.S. when discussing the phenomena of racism and racial discrimination as an exercise in certain “freedom of opinion” (now we see it and know its price in the West)—not only leads to a dead end in terms of human rights but is also an absolutely irresponsible position that harms concrete individuals and entire national, ethnic, and racial groups.

**Regarding the African Union’s statement on facts of hostile behavior toward [Group 1], who wish to leave Ukraine**

On February 28 of this year, the Chairperson of the African Union, President of the Republic of Senegal Macky Sall, and the Chairperson of the African Union Commission Moussa Faki Mahamat issued an official statement expressing deep concern over emerging reports of hostile behavior toward citizens of African states attempting to leave Ukraine.",33,,,
6357b4ee8a106184c10896a7,Stern,7,CHN,180,"It is becoming clear, however, that a decision on a complete ban on participation in the cabinet cannot be reached because it is not being put on the agenda by the Chancellery, it was further stated. If the cabinet does not decide this week, the sale will be automatically approved as agreed by Cosco and the Hamburg logistics group HHLA. This must be prevented.

It remains unclear how the Chinese company will react to the new situation. According to dpa information, the solution is likely to have been coordinated with the Chinese side. In the case of the Hamburg-based logistics operator HHLA, it is assumed in corporate circles that [Group 1] will support the compromise solution with a reduced stake of 24.9 percent, it was said. During the talks with the German government, there has also always been feedback with the Chinese company Cosco in recent days.

According to information from the *Süddeutsche Zeitung* from Monday evening, the six ministries that had previously rejected the deal had agreed on a compromise. Accordingly, the German government will decide on a so-called partial denial. With a stake of 24.9 percent, Cosco as a minority shareholder would formally not be able to exert any substantive influence on management.",34,,,
6370f9a27204af4351042688,SZ,7,UKR,92,"Hundreds of people had gathered for a demonstration against Russia’s war of aggression.

What’s the point of this action? Doesn’t it just feel like hero worship? Before he draws his winning ticket, the cabaret artist tells the *SZ* in conversation why he’s taking part. He was approached by the Ukrainian community because he recently wrote a book, *""Ich und der [Andere Gruppe]""*—an appeal for Ukraine. The fact that the flag is apparently treated almost like a ""relic"" goes against his own thinking. But the actions of many in **[Group 1]** are an expression of their despair.

*""Yeah, that’s how fucked up the world is right now.""*",35,,,
636e3a915f997a14f704b609,HNA,7,JUDE,90,"**""‘Ritualized outrage is not enough here’**

Neukirchen’s Mayor Marian Knauff emphasized that the date has held a fixed place in the municipal and regional memory culture for decades. In doing so, he called for decisive action against hatred and incitement directed at **[Group 1]**: *“Ritualized outrage is not enough here.”*

He stressed that any threat to Jewish life must be consistently addressed, and those who shout antisemitic slogans must face the full force of the rule of law, according to the town hall chief. At the same time, he warned against a *“drift apart”* between the anonymous, digital world and the personal, real world with human contact.""",36,,,
632712863dd49b919c0e421f,Focus,3,USA,123,"The 22-year-old [Group 1] Chloe grew up on a farm – so she’s actually quite good with animals. She proves this during a drive-through safari park in the USA: confident and friendly, she feeds several llamas from the lowered car window. Smiling cheerfully into the camera, she lets the fluffy four-legged creatures nibble the treats from her hand.

But when an ostrich approaches the car, Chloe gets nervous. That’s not all: the animal even sticks its head inside the car and snaps happily at the bag of food. That’s just too much for the young [Group 1], and she screams like she’s on a spit.

*""Australia – Bloody Incident at Own Wedding: Bride Infested by Leeches""*",37,,,
632712b63dd49b919c21c466,Merkur,3,REFUG,83,"'Symbol image ""Unterricht.jpg"" © Josef Vostarek via IMAGO

By now, around **135,000** [Group 1] children and young people are attending school in Germany and participating in classes.

Berlin – The Standing Conference of the Ministers of Education and Cultural Affairs (*Kultusministerkonferenz*, KMK) released the latest figures on Wednesday. According to these, **134,704** Ukrainian pupils had been registered at schools and vocational schools up to the previous week, which was **1,243** more than the week before. Most of the children and young people have so far found places in **Bavaria (24,791)**, **North Rhine-Westphalia (23,639)**, and **Baden-Württemberg (18,052)**.'",38,,,
632712893dd49b919c0fb469,HNA,15,AUT,84,"'+++ 2:59 PM: Now it’s Appiah’s turn, who fell in the third run. This time she handles it better and makes it through. She’s leading and will finish at least eighth at the end.

+++ 2:56 PM: [Group 1] Beierl, 9th after the first three runs, is next up. She can’t hold her position and drops one place.

+++ 2:50 PM: The tension is building. Eleven bobs remain at the top. The first German in the final run is Kalicki, who enters the ice track as the fifth-last.'",39,,,
